종목코드
005930
000660
051910
207940
005380
035420
006400
068270
035720
012330
028260
000270
096770
005490
051900
091990
066570
036570
017670
034730
105560
003550
055550
015760
018260
032830
009150
326030
090430
251270
033780
086790
011170
018880
009830
000810
010950
009540
010130
003670
068760
086280
316140
034220
019170
006800
024110
097950
030200
004020
352820
008930
021240
032640
034020
028300
011200
035250
000100
011780
271560
071050
139480
096530
003490
006280
161390
002790
011070
010140
000720
128940
267250
196170
285130
180640
247540
011790
000120
016360
004990
078930
029780
336260
039490
204320
036490
293490
035760
003090
005940
263750
012750
003410
006360
026960
032500
241560
008770
012510
