Date,SPY,IEV,EWJ,EEM,TLT,IEF,IYR,RWX,GLD,DBC
2016-02-08,168.3498077392578,31.378740310668945,40.33234786987305,26.64737892150879,117.46247100830078,101.1244125366211,57.06642532348633,27.733013153076172,113.83000183105469,12.11601734161377
2016-02-09,168.35887145996094,31.10004997253418,39.557437896728516,26.278278350830078,117.5875473022461,101.14269256591797,56.143428802490234,27.62026596069336,113.58000183105469,11.80510139465332
2016-02-10,168.21363830566406,31.230684280395508,38.8563232421875,26.386306762695312,118.62378692626953,101.44450378417969,56.43710708618164,27.62778663635254,114.45999908447266,11.824533462524414
2016-02-11,166.02548217773438,30.78652572631836,38.0814094543457,25.9451847076416,119.45453643798828,101.91095733642578,55.60640335083008,27.394798278808594,119.05999755859375,11.970274925231934
2016-02-12,169.44842529296875,31.387453079223633,38.41352081298828,26.39531135559082,117.47138977050781,101.13353729248047,56.32801055908203,27.808162689208984,118.36000061035156,12.145166397094727
2016-02-16,172.3084259033203,31.89257049560547,39.815738677978516,26.9804744720459,116.22968292236328,100.83174133300781,57.41044616699219,28.371841430664062,114.7699966430664,12.009139060974121
2016-02-17,175.123046875,32.55446243286133,40.14784240722656,27.511615753173828,115.51502990722656,100.58482360839844,57.9306755065918,28.73259925842285,115.4800033569336,12.261759757995605
2016-02-18,174.40576171875,32.36286544799805,40.14784240722656,27.34957504272461,116.9354248046875,101.05126190185547,58.484474182128906,28.6198673248291,118.29000091552734,12.193747520446777
2016-02-19,174.32406616210938,32.301902770996094,39.96334457397461,27.223539352416992,117.03363037109375,101.05126190185547,58.61033630371094,28.845335006713867,117.58000183105469,12.086869239807129
2016-02-22,176.8480987548828,32.537052154541016,40.62755584716797,27.898727416992188,116.97110748291016,100.95064544677734,59.29000473022461,29.145963668823242,115.48999786376953,12.271475791931152
2016-02-23,174.6145782470703,31.97095489501953,39.96334457397461,27.304561614990234,117.44457244873047,101.15184020996094,59.14735794067383,28.65743637084961,117.22000122070312,12.106301307678223
2016-02-24,175.41355895996094,31.831613540649414,40.3692512512207,27.241544723510742,117.21233367919922,101.15184020996094,59.17251968383789,28.81527328491211,117.61000061035156,12.261759757995605
2016-02-25,177.53814697265625,32.27577209472656,40.84895324707031,27.331571578979492,117.63214874267578,101.4536361694336,60.24657440185547,29.05576515197754,117.91999816894531,12.252042770385742
2016-02-26,177.1295623779297,32.17997360229492,40.81205749511719,27.061494827270508,116.49766540527344,100.95977783203125,60.06195068359375,28.86788558959961,117.11000061035156,12.232611656188965
2016-02-29,175.74041748046875,32.031917572021484,40.184749603271484,27.295560836791992,117.00688934326172,101.1244125366211,59.96126174926758,28.837818145751953,118.63999938964844,12.388069152832031
2016-03-01,179.87158203125,32.911537170410156,41.181060791015625,28.2678279876709,114.94651794433594,100.33403778076172,61.5219841003418,29.536779403686523,117.7699966430664,12.397785186767578
2016-03-02,180.67959594726562,32.98992156982422,41.771480560302734,28.645933151245117,115.42093658447266,100.15997314453125,61.99185562133789,29.709636688232422,118.68000030517578,12.465798377990723
2016-03-03,181.38780212402344,33.26860809326172,42.066673278808594,28.970022201538086,115.84153747558594,100.27906036376953,62.302330017089844,29.844921112060547,120.7300033569336,12.53381061553955
2016-03-04,181.97796630859375,33.44279479980469,42.50948715209961,29.54618263244629,115.09869384765625,99.94014739990234,62.47014236450195,29.935117721557617,120.54000091552734,12.776714324951172
2016-03-07,182.1232452392578,33.44279479980469,42.066673278808594,29.50117301940918,115.06287384033203,99.73870849609375,62.587608337402344,29.762245178222656,121.13999938964844,13.009902000427246
2016-03-08,180.1348419189453,33.08572006225586,41.660770416259766,28.997028350830078,116.33377838134766,100.31568145751953,61.941524505615234,29.672067642211914,120.58000183105469,12.83501148223877
2016-03-09,181.02464294433594,33.26860809326172,41.623863220214844,29.177082061767578,115.62674713134766,99.92186737060547,62.19324493408203,29.679580688476562,119.58000183105469,13.02933406829834
2016-03-10,181.16990661621094,33.251190185546875,41.439361572265625,29.22209358215332,115.15241241455078,99.56468200683594,62.033817291259766,29.732192993164062,121.5,13.009902000427246
2016-03-11,184.0934600830078,34.13951110839844,42.54638671875,29.83426284790039,113.98887634277344,99.28077697753906,63.502227783203125,30.46121597290039,119.41000366210938,13.05848217010498
2016-03-14,183.85739135742188,34.0437126159668,42.73088455200195,29.654207229614258,114.34690856933594,99.35401916503906,63.41830825805664,30.401092529296875,117.87000274658203,12.941888809204102
2016-03-15,183.55776977539062,33.72148132324219,42.17738342285156,29.231098175048828,114.45428466796875,99.33570861816406,63.401527404785156,30.310901641845703,117.95999908447266,12.83501148223877
2016-03-16,184.62005615234375,34.06983947753906,42.25117874145508,29.81625747680664,114.79438781738281,99.85774993896484,64.20706176757812,30.6942081451416,120.58999633789062,13.05848217010498
2016-03-17,185.79129028320312,34.32240295410156,42.39877700805664,30.473438262939453,115.26870727539062,99.96766662597656,65.1048812866211,31.227811813354492,120.12999725341797,13.204224586486816
2016-03-18,186.5214080810547,34.313697814941406,42.25117874145508,30.635482788085938,115.51034545898438,100.14167022705078,64.8531494140625,31.175762176513672,119.80000305175781,13.194507598876953
2016-03-21,186.7860870361328,34.14822006225586,42.43568801879883,30.698503494262695,114.62434387207031,99.85774993896484,64.43359375,31.138031005859375,118.95999908447266,13.233372688293457
2016-03-22,186.68563842773438,33.96533203125,42.6939811706543,30.62648582458496,114.59745025634766,99.6470947265625,64.45040893554688,31.115400314331055,119.30999755859375,13.330534934997559
